TCR Val	Valid	Accept	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	
1.00	True	True	10.17	10.00	10.00	10.17	10.23	10.23	10.23	10.17	10.00	10.23	10.23	10.23	10.00	10.17	10.00	10.23	10.17	10.23	10.17	10.17	
1.00	True	True	10.72	10.03	10.03	10.25	10.31	10.26	10.83	10.25	10.00	10.26	10.31	10.31	10.03	10.19	10.03	10.26	10.25	10.31	10.25	10.25	
1.00	True	True	10.80	10.11	10.61	10.88	10.39	10.34	11.47	10.33	10.00	10.34	10.34	10.34	10.06	10.77	10.11	10.34	10.28	10.34	10.28	10.28	
1.00	True	True	11.42	10.15	10.65	10.92	10.43	10.38	11.51	10.37	10.04	10.38	10.34	10.34	10.10	10.81	10.15	10.34	10.31	10.38	10.28	10.28	
1.00	True	True	12.08	10.20	10.69	10.92	10.48	10.38	11.56	10.42	10.09	11.03	10.34	10.39	10.75	11.47	10.20	10.34	10.31	10.38	10.28	10.32	
1.00	True	True	12.77	10.20	10.75	10.92	11.17	11.02	11.61	10.47	10.78	11.09	10.98	10.39	10.75	11.47	10.89	10.34	10.37	10.43	10.33	10.38	
1.00	False	False	12.77	10.91	10.79	10.97	11.21	11.06	11.65	10.51	10.78	11.13	11.02	10.43	10.79	11.51	10.93	10.39	10.37	10.43	10.37	10.38	
1.00	True	True	13.53	11.62	10.86	11.03	11.21	11.13	12.36	10.51	11.54	11.13	11.09	10.43	10.86	12.22	11.00	10.45	10.43	10.43	11.08	10.44	
0.78	True	False	14.27	12.42	10.92	11.03	11.28	11.19	12.36	10.58	12.28	11.13	11.15	10.50	10.93	12.28	11.00	10.45	10.50	10.43	11.14	10.44	
0.80	True	True	15.10	13.20	10.98	11.03	11.34	11.25	13.19	10.58	12.34	11.19	11.21	10.55	11.70	12.28	11.05	11.28	10.50	10.49	11.20	11.27	
0.82	True	True	15.10	13.20	11.04	11.09	11.40	11.25	13.25	10.64	13.22	11.25	11.27	10.61	11.70	12.28	11.12	11.28	10.56	10.55	11.26	11.27	
0.83	True	True	15.96	13.26	11.04	11.15	11.46	11.31	14.17	10.64	14.13	11.31	11.33	10.68	11.76	12.28	12.03	11.28	10.62	11.46	11.26	11.33	
0.85	True	True	15.96	14.23	11.12	12.13	11.46	11.38	15.14	10.64	14.21	11.31	11.33	10.75	11.76	12.36	12.03	11.28	10.70	11.54	11.34	11.41	
0.71	True	False	16.98	15.17	11.19	12.13	11.54	11.38	16.08	10.72	15.15	12.33	11.33	10.83	11.76	12.44	12.11	11.36	10.78	11.62	11.34	11.49	
0.60	True	False	18.07	16.16	11.19	12.22	11.64	11.38	16.08	10.82	16.14	12.43	11.43	11.92	12.75	12.54	12.21	11.36	11.86	11.62	11.34	11.49	
0.50	True	False	18.16	16.26	11.19	12.32	11.73	11.48	16.08	10.92	17.18	12.43	11.52	11.92	13.79	13.67	12.21	11.45	13.00	11.62	11.43	12.52	
0.53	True	True	18.16	16.26	11.29	12.32	11.83	11.58	17.27	11.02	17.28	12.53	11.62	13.11	13.79	13.67	12.21	11.55	13.00	12.81	11.43	12.52	
0.56	False	False	18.27	16.26	11.40	12.32	11.94	11.68	18.42	11.02	18.42	12.53	11.73	13.11	15.04	13.77	12.21	11.66	14.25	12.81	11.54	12.63	
0.58	False	False	18.39	17.46	11.52	12.32	12.06	11.68	18.54	11.14	19.63	12.53	11.85	13.11	15.16	13.89	13.41	11.66	14.37	14.01	11.54	12.75	
0.60	True	True	18.50	18.84	11.52	12.32	12.17	11.80	18.65	12.40	19.74	12.53	11.85	13.22	16.43	14.01	13.53	11.66	14.48	14.01	11.54	12.86	
0.62	True	True	19.92	20.25	11.61	13.65	12.26	11.80	20.07	12.49	19.83	12.62	11.94	13.22	16.43	14.10	13.62	11.66	14.57	14.10	11.62	12.95	
0.64	True	True	21.43	21.76	11.61	13.76	12.26	11.80	20.19	12.60	21.34	12.74	11.94	13.34	16.54	14.21	13.62	11.66	14.69	14.10	13.13	12.95	
0.57	True	False	22.89	21.91	11.61	13.91	12.26	11.80	20.19	12.75	21.34	12.74	12.08	13.49	16.54	14.36	13.62	13.27	14.83	14.25	13.13	13.10	
0.50	True	False	24.43	23.59	11.61	14.05	12.40	11.80	20.19	12.75	21.34	12.87	12.22	13.63	16.68	14.36	13.62	13.41	14.97	15.92	13.13	14.77	
0.44	True	False	26.04	25.36	11.61	14.05	12.56	11.96	21.80	12.91	21.34	12.87	12.38	13.79	18.46	14.36	13.78	13.57	14.97	15.92	13.13	16.55	
0.38	True	False	27.73	25.50	13.30	14.05	12.70	11.96	23.49	12.91	23.03	12.87	12.53	13.93	18.60	14.50	13.92	13.71	15.12	16.06	13.27	16.69	
