TCR Val	Valid	Accept		V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	Total
1.00	True	True		110.44	110.44	100.00	110.44	100.00	110.44	103.93	100.00	100.00	110.44	110.44	100.00	110.44	100.00	100.00	100.00	103.93	103.93	100.00	100.00	110.44	100.00	100.00	100.00	110.44	103.93	100.00	100.00	100.00	103.93	110.44	110.44	100.00	100.00	110.44	110.44	110.44	110.44	100.00	110.44	100.00	110.44	103.93	110.44	110.44	100.00	110.44	110.44	100.00	103.93	110.44	100.00	100.00	103.93	100.00	100.00	100.00	110.44	100.00	110.44	100.00	110.44	103.93	100.00	110.44	100.00	110.44	100.00	100.00	110.44	110.44	100.00	110.44	100.00	103.93	100.00	103.93	100.00	103.93	110.44	110.44	110.44	100.00	100.00	110.44	103.93	110.44	110.44	110.44	100.00	110.44	110.44	100.00	110.44	110.44	110.44	100.00	110.44	100.00	100.00	10500.0
2.00	True	True		110.44	120.54	100.00	120.54	110.10	120.54	103.93	100.00	100.00	110.44	120.54	100.00	120.54	110.10	100.00	100.00	114.03	103.93	100.00	100.00	120.54	100.00	103.65	100.00	120.54	114.03	100.00	103.65	100.00	114.03	120.54	120.54	100.00	100.00	114.09	120.54	120.54	120.54	103.65	110.44	100.00	120.54	103.93	110.44	120.54	100.00	120.54	110.44	110.10	107.58	120.54	100.00	110.10	107.58	100.00	110.10	100.00	110.44	110.10	120.54	110.10	110.44	114.03	110.10	120.54	110.10	120.54	110.10	110.10	120.54	120.54	100.00	110.44	110.10	107.58	100.00	107.58	100.00	107.58	114.09	120.54	120.54	100.00	100.00	120.54	107.58	120.54	120.54	120.54	100.00	120.54	110.44	100.00	110.44	120.54	120.54	110.10	120.54	100.00	100.00	11025.0
3.00	True	True		121.66	131.76	100.00	124.37	121.32	131.76	107.76	100.00	100.00	110.44	131.76	103.83	120.54	110.10	100.00	111.22	125.25	107.76	100.00	111.22	131.76	100.00	103.65	111.22	131.76	114.03	111.22	107.48	100.00	114.03	131.76	131.76	103.83	100.00	117.92	131.76	131.76	120.54	103.65	110.44	111.22	131.76	103.93	110.44	131.76	111.22	131.76	121.66	110.10	107.58	131.76	100.00	110.10	111.41	103.83	121.32	100.00	110.44	121.32	131.76	113.93	110.44	117.86	110.10	120.54	110.10	120.54	121.32	110.10	131.76	124.37	100.00	110.44	110.10	107.58	103.83	118.80	111.22	107.58	114.09	131.76	131.76	100.00	111.22	131.76	111.41	131.76	131.76	131.76	111.22	131.76	121.66	100.00	121.66	131.76	131.76	110.10	131.76	103.83	100.00	11576.25
4.00	True	True		126.03	131.76	100.00	138.17	135.12	131.76	112.13	100.00	104.37	124.23	145.56	117.62	124.91	114.47	100.00	111.22	139.05	107.76	100.00	125.02	145.56	100.00	103.65	125.02	145.56	127.82	115.59	111.85	104.37	114.03	145.56	136.13	117.62	113.79	131.71	145.56	131.76	134.33	103.65	110.44	125.02	145.56	103.93	110.44	145.56	111.22	145.56	126.03	110.10	107.58	131.76	100.00	110.10	115.77	117.62	125.69	100.00	124.23	121.32	131.76	127.73	110.44	122.23	110.10	120.54	110.10	120.54	135.12	110.10	131.76	138.17	100.00	110.44	123.89	111.94	103.83	132.59	125.02	111.94	118.45	145.56	136.13	100.00	111.22	145.56	115.77	131.76	136.13	136.13	111.22	145.56	126.03	113.79	135.46	145.56	131.76	110.10	136.13	103.83	100.00	12155.0625
5.00	True	True		139.62	131.76	113.59	151.76	148.71	145.36	125.72	100.00	104.37	124.23	150.73	117.62	138.50	128.06	100.00	111.22	152.64	107.76	113.59	125.02	145.56	100.00	103.65	130.19	159.15	127.82	115.59	117.02	104.37	114.03	159.15	149.72	131.22	113.79	145.30	159.15	136.94	147.93	103.65	110.44	125.02	159.15	103.93	110.44	150.73	111.22	159.15	131.21	110.10	121.17	145.36	100.00	110.10	120.95	117.62	139.28	113.59	137.83	121.32	145.36	127.73	110.44	127.40	110.10	120.54	110.10	134.13	148.71	110.10	145.36	138.17	100.00	110.44	123.89	117.12	103.83	146.18	125.02	117.12	132.05	159.15	141.31	100.00	111.22	159.15	120.95	145.36	149.72	149.72	116.40	150.73	139.62	113.79	149.05	159.15	136.94	110.10	149.72	103.83	100.00	12762.815625
6.00	True	True		152.35	131.76	113.59	151.76	148.71	158.09	129.80	100.00	108.45	124.23	163.46	130.35	151.23	132.14	100.00	123.95	165.37	111.84	113.59	125.02	158.29	100.00	103.65	134.27	159.15	127.82	115.59	121.10	104.37	118.11	171.88	153.80	143.95	126.52	145.30	171.88	149.67	152.01	103.65	110.44	125.02	171.88	103.93	123.17	154.81	111.22	171.88	143.94	110.10	133.90	158.09	100.00	110.10	125.03	130.35	152.01	113.59	137.83	134.05	145.36	140.46	110.44	131.48	122.83	120.54	122.83	146.86	161.44	122.83	158.09	150.90	112.73	110.44	123.89	121.20	116.56	158.91	125.02	121.20	144.78	171.88	145.39	100.00	123.95	171.88	133.68	158.09	162.45	149.72	116.40	163.46	152.35	113.79	161.78	171.88	141.02	110.10	162.45	103.83	100.00	13400.9564063
7.00	True	True		152.35	145.89	113.59	165.88	162.83	172.21	129.80	114.12	108.45	124.23	177.59	130.35	151.23	146.26	100.00	123.95	179.49	117.55	113.59	125.02	172.41	100.00	103.65	148.39	173.27	133.53	115.59	126.81	104.37	132.23	186.00	153.80	158.07	126.52	159.43	186.00	163.79	157.71	103.65	110.44	125.02	186.00	118.05	123.17	168.94	111.22	186.00	158.06	110.10	133.90	172.21	100.00	110.10	139.15	130.35	166.14	113.59	137.83	134.05	159.48	154.58	110.44	137.19	136.95	120.54	128.54	160.99	175.56	122.83	158.09	165.02	112.73	110.44	123.89	126.91	116.56	173.04	125.02	126.91	144.78	186.00	159.51	114.12	123.95	177.59	139.39	163.79	176.58	163.85	116.40	177.59	166.47	113.79	175.90	171.88	155.14	110.10	176.58	103.83	114.12	14071.0042266
8.00	True	True		152.35	161.22	128.93	165.88	178.17	178.45	136.04	114.12	108.45	124.23	192.92	145.69	166.56	161.60	100.00	123.95	194.82	117.55	113.59	125.02	172.41	100.00	103.65	154.63	188.61	133.53	115.59	126.81	110.61	147.57	201.34	169.14	158.07	126.52	174.76	201.34	179.13	173.05	118.98	110.44	125.02	186.00	118.05	123.17	184.27	126.56	186.00	158.06	110.10	149.23	172.21	115.33	125.44	145.39	130.35	181.47	113.59	137.83	149.39	165.72	169.91	110.44	143.43	136.95	120.54	128.54	176.32	190.90	122.83	164.33	180.35	112.73	110.44	123.89	126.91	131.89	188.37	125.02	133.15	151.02	201.34	174.84	120.36	123.95	183.83	139.39	179.13	176.58	163.85	131.73	192.92	181.81	113.79	191.23	187.21	170.48	125.44	191.91	103.83	114.12	14774.5544379
9.00	True	True		152.35	179.23	146.94	165.88	178.17	187.48	145.07	114.12	117.48	124.23	210.93	145.69	166.56	179.61	100.00	123.95	212.84	117.55	113.59	125.02	181.44	100.00	103.65	154.63	188.61	133.53	115.59	135.84	110.61	165.58	219.35	187.15	176.08	135.55	174.76	219.35	197.14	191.06	137.00	128.45	143.03	204.02	118.05	141.18	202.28	144.57	186.00	176.07	110.10	167.25	172.21	115.33	125.44	145.39	130.35	181.47	113.59	137.83	149.39	183.73	187.92	110.44	152.46	136.95	138.56	128.54	194.33	208.91	122.83	182.34	189.38	112.73	110.44	123.89	126.91	149.91	206.38	143.03	133.15	169.03	219.35	174.84	120.36	141.97	201.84	139.39	179.13	194.59	181.86	131.73	192.92	181.81	113.79	191.23	205.23	170.48	125.44	191.91	103.83	114.12	15513.2821598
10.00	True	True		167.97	179.23	162.55	181.49	178.17	203.09	150.68	129.74	117.48	124.23	210.93	145.69	182.18	195.22	100.00	139.57	228.45	117.55	113.59	125.02	197.05	100.00	103.65	170.25	204.22	149.14	115.59	141.46	110.61	181.19	219.35	202.76	181.70	135.55	190.37	234.96	202.76	206.68	137.00	128.45	158.64	219.63	118.05	156.80	202.28	144.57	186.00	191.69	125.72	182.86	187.82	115.33	125.44	161.01	130.35	197.08	113.59	137.83	149.39	199.35	203.54	126.05	158.08	136.95	138.56	128.54	209.95	214.53	138.45	187.96	204.99	118.35	110.44	123.89	132.53	149.91	206.38	158.64	138.76	184.64	234.96	190.46	120.36	147.58	217.45	139.39	194.74	210.20	181.86	131.73	208.53	197.42	113.79	196.85	210.84	186.09	125.44	207.52	119.45	114.12	16288.9462678
